"";"c1";"c2";"c3";"c4";"c5";"c6";"Cepa";"Fecha";"Lado"
"143";"5.72427176020723e-01";"1.97593532495530e-01";"4.93007937621205e-06";"6.10742485460207e-14";"9.84886605429617e-27";"4.37866974457469e-42";"ECO";"F1";"D"
"144";"3.86043294032056e-01";"3.35746928486445e-01";"2.31499013028640e-05";"7.22564995061020e-13";"3.22003747703886e-25";"3.60695263629202e-40";"ECO";"F1";"D"
"145";"6.36831614371743e-01";"1.62253242537389e-01";"2.89869477463293e-06";"2.65047062954355e-14";"3.06040576721809e-27";"1.00427177940881e-42";"ECO";"F1";"D"
"146";"6.12075928018542e-01";"1.75255357368178e-01";"3.55997839609050e-06";"3.65818028004754e-14";"4.80272894394024e-27";"1.77115902850102e-42";"ECO";"F1";"D"
"147";"3.25251292382964e-06";"9.49457123184917e-02";"6.22989564831540e-01";"6.52662766043354e-04";"2.76784117071638e-11";"1.04064108682184e-21";"ECO";"F2";"F"
"148";"3.13904103863831e-04";"5.10616067840317e-01";"1.39876631423456e-01";"8.16571817591785e-06";"1.44574596102750e-14";"3.02895588845048e-26";"ECO";"F2";"F"
"149";"6.42735031695489e-04";"6.20564991819617e-01";"9.57726620071090e-02";"3.31855177805608e-06";"3.31016618444853e-15";"4.11631475587658e-27";"ECO";"F2";"F"
"150";"9.79205508796946e-04";"6.87644488712923e-01";"7.47698575625919e-02";"1.88437967227562e-06";"1.32427417561898e-15";"1.19776469058791e-27";"ECO";"F2";"F"
"151";"1.41827019253713e-05";"1.74695293967206e-01";"4.43689463692276e-01";"1.96134089998580e-04";"3.21957026134028e-12";"5.10767923121073e-23";"ECO";"F2";"F"
"152";"4.47933083933983e-05";"2.70100275011522e-01";"3.12673847321342e-01";"6.76636127758790e-05";"5.06254184824510e-13";"3.93173274936043e-24";"ECO";"F2";"F"
"153";"3.89471301240507e-05";"2.56702851817404e-01";"3.27721478032021e-01";"7.75196629132496e-05";"6.39636148649770e-13";"5.42989847077052e-24";"ECO";"F2";"F"
"154";"1.88991632945935e-06";"7.48672132594225e-02";"6.87304399321431e-01";"9.77124613133661e-04";"5.79768107491010e-11";"2.95805939245102e-21";"ECO";"F2";"F"
"155";"2.86821806150965e-03";"8.52680425860518e-01";"3.60164819899694e-02";"3.84261749382920e-07";"1.04903279280998e-16";"4.01667477807744e-29";"ECO";"F2";"F"
"156";"8.62677156103235e-03";"9.74785336419153e-01";"1.42068960360240e-02";"5.76118247220714e-08";"5.42686175300794e-18";"7.89792354734264e-31";"ECO";"F2";"F"
