ID;Temperatura;Tiempo;Dia;HEC1;HEC2;HEC3;HEC4;HEC5;BEC1;BEC2;BEC3;BEC4;BEC5;HIC1;HIC2;HIC3;HIC4;HIC5;BIC1;BIC2;BIC3;BIC4;BIC5;HCC1;HCC2;HCC3;HCC4;HCC5;BCC1;BCC2;BCC3;BCC4;BCC5
I001;T40;h1[0a0.25);lunes;0.0000000000000000439;0.0000000070500000000;0.0043736120000000000;10.4922961000000000000;97.3091564400000000000;100.0000000000000000000;6.2176524020000000000;0.0014945340000000000;0.0000000013900000000;0.0000000000000000050;0.0000000000000000379;0.0000000063200000000;0.0040714590000000000;10.1416061700000000000;97.6599124700000000000;99.9613335700000000000;6.6363223500000000000;0.0017032400000000000;0.0000000016900000000;0.0000000000000000065;0.0000000000000000055;0.0000000015000000000;0.0015707480000000000;6.3740382860000000000;99.9944215900000000000;99.9612192800000000000;6.6369573710000000000;0.0017035680000000000;0.0000000016900000000;0.0000000000000000065
I002;T40;h1[0a0.25);lunes;0.0000000000000000439;0.0000000070500000000;0.0043736120000000000;10.4922961000000000000;97.3091564400000000000;100.0000000000000000000;6.2176524020000000000;0.0014945340000000000;0.0000000013900000000;0.0000000000000000050;0.0000000000000000379;0.0000000063200000000;0.0040714590000000000;10.1416061700000000000;97.6599124700000000000;99.9613335700000000000;6.6363223500000000000;0.0017032400000000000;0.0000000016900000000;0.0000000000000000065;0.0000000000000000055;0.0000000015000000000;0.0015707480000000000;6.3740382860000000000;99.9944215900000000000;99.9612192800000000000;6.6369573710000000000;0.0017035680000000000;0.0000000016900000000;0.0000000000000000065
I003;T40;h1[0a0.25);lunes;0.0000000000000000439;0.0000000070500000000;0.0043736120000000000;10.4922961000000000000;97.3091564400000000000;100.0000000000000000000;6.2176524020000000000;0.0014945340000000000;0.0000000013900000000;0.0000000000000000050;0.0000000000000000379;0.0000000063200000000;0.0040714590000000000;10.1416061700000000000;97.6599124700000000000;99.9613335700000000000;6.6363223500000000000;0.0017032400000000000;0.0000000016900000000;0.0000000000000000065;0.0000000000000000055;0.0000000015000000000;0.0015707480000000000;6.3740382860000000000;99.9944215900000000000;99.9612192800000000000;6.6369573710000000000;0.0017035680000000000;0.0000000016900000000;0.0000000000000000065
I004;T40;h1[0a0.25);lunes;0.0000000000000111000;0.0000004110000000000;0.0586877010000000000;32.4351621500000000000;69.3007488000000000000;82.5831043900000000000;22.0696596200000000000;0.0228009500000000000;0.0000000911000000000;0.0000000000000014100;0.0000000000018700000;0.0000160000000000000;0.5303545570000000000;67.8914307500000000000;33.5982374700000000000;85.6675874700000000000;19.7616329100000000000;0.0176230870000000000;0.0000000608000000000;0.0000000000000008100;0.0000000000000015100;0.0000000961000000000;0.0235950640000000000;22.3922634500000000000;82.1538086200000000000;62.1788045300000000000;38.4729383500000000000;0.0920282630000000000;0.0000008510000000000;0.0000000000000304000
I005;T40;h1[0a0.25);lunes;0.0000000000000010500;0.0000000737000000000;0.0199254690000000000;20.8358384900000000000;84.2299012500000000000;77.5662295500000000000;25.8788814900000000000;0.0333788370000000000;0.0000001660000000000;0.0000000000000032100;0.0000000000000072600;0.0000003020000000000;0.0484469340000000000;30.0812751800000000000;72.2069606400000000000;84.3199289000000000000;20.7685183800000000000;0.0197757820000000000;0.0000000728000000000;0.0000000000000010400;0.0000000000038500000;0.0000266000000000000;0.7101998420000000000;73.2771039200000000000;29.2286596500000000000;57.9575289900000000000;42.2571750500000000000;0.1191088240000000000;0.0000013000000000000;0.0000000000000547000
I006;T40;h1[0a0.25);lunes;0.0000000000000005750;0.0000000472000000000;0.0149988590000000000;18.4209234300000000000;87.4616055900000000000;91.6759480800000000000;15.2284656400000000000;0.0097793450000000000;0.0000000243000000000;0.0000000000000002330;0.0000000000000034300;0.0000001750000000000;0.0343989060000000000;26.2005550600000000000;77.1488106400000000000;64.7900620200000000000;36.2114642600000000000;0.0782414080000000000;0.0000006540000000000;0.0000000000000211000;0.0000000000004450000;0.0000058100000000000;0.2929285940000000000;57.1070912400000000000;43.0398937100000000000;56.2739324800000000000;43.8135969600000000000;0.1318752910000000000;0.0000015300000000000;0.0000000000000690000
I007;T40;h2[0.25a0.5);lunes;0.0000000000000020700;0.0000001210000000000;0.0272986720000000000;23.8089465500000000000;80.2771068400000000000;91.6759480800000000000;15.2284656400000000000;0.0097793450000000000;0.0000000243000000000;0.0000000000000002330;0.0000000000005080000;0.0000063800000000000;0.3095430180000000000;58.0866161800000000000;42.1389801600000000000;68.9591229500000000000;32.7157543600000000000;0.0600032850000000000;0.0000004250000000000;0.0000000000000117000;0.0000000000055100000;0.0000342000000000000;0.8189254720000000000;75.8819380500000000000;27.1822453200000000000;14.1519826300000000000;93.0524622800000000000;2.3653277690000000000;0.0002324380000000000;0.0000000000883000000
I008;T40;h2[0.25a0.5);lunes;0.0000000000001460000;0.0000026300000000000;0.1826103440000000000;49.0146944200000000000;50.8604387500000000000;48.0685936300000000000;51.8215038900000000000;0.2159789810000000000;0.0000034800000000000;0.0000000000002170000;0.0000000000004890000;0.0000062100000000000;0.3046814480000000000;57.8049127500000000000;42.3971211500000000000;49.7307115700000000000;50.1398808400000000000;0.1954316060000000000;0.0000029400000000000;0.0000000000001720000;0.0000000000003060000;0.0000044500000000000;0.2500888580000000000;54.3365633300000000000;45.6397092500000000000;31.5970045600000000000;70.3273519100000000000;0.6051394910000000000;0.0000201000000000000;0.0000000000025900000
I009;T40;h2[0.25a0.5);lunes;0.0000000000000258000;0.0000007560000000000;0.0855751170000000000;37.4483574900000000000;63.3535454100000000000;74.5402901700000000000;28.2313438200000000000;0.0413356620000000000;0.0000002340000000000;0.0000000000000051200;0.0000000000000245000;0.0000007290000000000;0.0836785010000000000;37.1362707800000000000;63.7141023300000000000;46.4943164100000000000;53.4436949100000000000;0.2374903480000000000;0.0000040800000000000;0.0000000000002710000;0.0000000000003060000;0.0000044500000000000;0.2500888580000000000;54.3365633300000000000;45.6397092500000000000;47.1922532400000000000;52.7209346400000000000;0.2276923120000000000;0.0000038000000000000;0.0000000000002450000
I010;T40;h3[0.5a0.75);lunes;0.0000000000000030700;0.0000001610000000000;0.0327078580000000000;25.6636364300000000000;77.8461537100000000000;79.0391326400000000000;24.7503395100000000000;0.0299621540000000000;0.0000001400000000000;0.0000000000000025400;0.0000000000000538000;0.0000012800000000000;0.1183165380000000000;42.1563746300000000000;58.0676077000000000000;65.6285820400000000000;35.4973731200000000000;0.0742253560000000000;0.0000006000000000000;0.0000000000000188000;0.0000000000000875000;0.0000018200000000000;0.1462167200000000000;45.4266955500000000000;54.5604737400000000000;46.3891666300000000000;53.5530832700000000000;0.2390040540000000000;0.0000041200000000000;0.0000000000002750000
