"","Hpre","Hcom","Hinter","TrCam","Oact","CaFun","SoCap","Inv.f","SoInv","Ges.f","SoGe","CrVeg","CrNca","CrAIn"
"9001",40.9187279151943,6.14840989399293,8.90459363957597,2.40282685512368,6.14840989399293,0,16.5371024734982,0,10.7420494699647,0,7.63250883392226,24.8056537102474,0,3.81625441696113
"9002",67.0671378091873,16.8904593639576,18.5865724381625,12.5795053003534,24.0282685512367,16.4664310954064,7.63250883392226,13.7102473498233,0,8.55123674911661,0,51.2367491166078,8.33922261484099,9.18727915194346
"9003",58.4452296819788,3.886925795053,15.7597173144876,0,2.96819787985866,6.07773851590106,37.3144876325088,0,6.57243816254417,5.22968197879859,0.848056537102474,20.7773851590106,7.06713780918728,1.69611307420495
"9004",56.2544169611307,11.2367491166078,9.11660777385159,0,0,0,44.1696113074205,0,13.1448763250883,0.141342756183746,2.68551236749117,20,3.886925795053,0
"9005",14.2756183745583,1.83745583038869,0.989399293286219,2.12014134275618,0.848056537102474,0,1.41342756183746,0,5.79505300353357,0,0,6.36042402826855,2.82685512367491,0
"9006",91.8021201413428,10.8833922261484,3.95759717314488,0,0,24.8763250883392,5.79505300353357,12.3674911660777,0,5.58303886925795,0,16.678445229682,6.07773851590106,0
"9007",40.4240282685512,4.87632508833922,2.3321554770318,1.20141342756184,12.0848056537102,0,2.40282685512368,0,0,0,9.18727915194346,8.55123674911661,10.9540636042403,12.5088339222615
"9008",28.6219081272085,0,0,1.06007067137809,2.61484098939929,0,0.424028268551237,0,1.06007067137809,1.41342756183746,1.27208480565371,2.82685512367491,0,0
"9010",26.2190812720848,0,0,5.22968197879859,2.96819787985866,3.74558303886926,0.424028268551237,3.03886925795053,0.424028268551237,6.36042402826855,0,10.8127208480565,5.15901060070671,7.77385159010601
"9011",31.660777385159,7.42049469964664,2.61484098939929,1.90812720848057,2.61484098939929,0,4.38162544169611,0,4.38162544169611,0,5.08833922261484,24.3109540636042,4.52296819787986,7.06713780918728
"9012",10.6007067137809,2.19081272084806,0.636042402826855,0.141342756183746,3.1095406360424,0,0.141342756183746,0,0,0,0,0,0,0
"9013",49.7526501766784,0,0,0,0,0,0,0,1.34275618374558,0,4.24028268551237,22.4028268551237,13.9222614840989,14.1342756183746
"9014",31.660777385159,7.06713780918728,0.848056537102474,0,2.26148409893993,0,0,0,2.26148409893993,0,2.96819787985866,10.6007067137809,0,3.1095406360424
"9016",100,11.4487632508834,0.424028268551237,9.04593639575972,15.4063604240283,2.19081272084806,0.565371024734982,0,3.95759717314488,0.989399293286219,0,5.58303886925795,3.95759717314488,0
"9017",14.6996466431095,0,0,3.74558303886926,6.28975265017668,0,0,0.848056537102474,0,0.848056537102474,0,0,0,3.39222614840989
