ID;LOCALIDAD;PARAMETRO;ANO;V1_calma;V2_ventolina;V3_brisamuydebil;V4_brisadebilflojo;V5_brisamoderada;V6_brisafresca;V7_brisafuerte;v8_vientofuerte;v9_temporal
ID0041;La27-25_ Lo65-25;WS50M;A1982;0,00;0,00;0,00;0,652173913;0,347826087;0,00;0,00;0,00;0,00
ID0042;La27-25_ Lo65-25;WS50M;A1983;0,00;0,00;0,00;0,817391304;0,182608696;0,00;0,00;0,00;0,00
ID0043;La27-25_ Lo65-25;WS50M;A1984;0,00;0,00;0,00;0,660869565;0,339130435;0,00;0,00;0,00;0,00
ID0044;La27-25_ Lo65-25;WS50M;A1985;0,00;0,00;0,00;0,8;0,2;0,00;0,00;0,00;0,00
ID0045;La27-25_ Lo65-25;WS50M;A1986;0,00;0,00;0,00;0,639130435;0,360869565;0,00;0,00;0,00;0,00
ID0046;La27-25_ Lo65-25;WS50M;A1987;0,00;0,00;0,00;0,77826087;0,22173913;0,00;0,00;0,00;0,00
ID0047;La27-25_ Lo65-25;WS50M;A1988;0,00;0,00;0,00;0,817391304;0,182608696;0,00;0,00;0,00;0,00
ID0048;La27-25_ Lo65-25;WS50M;A1989;0,00;0,00;0,00;0,769565217;0,230434783;0,00;0,00;0,00;0,00
ID0049;La27-25_ Lo65-25;WS50M;A1990;0,00;0,00;0,00;0,913043478;0,086956522;0,00;0,00;0,00;0,00
ID0050;La27-25_ Lo65-25;WS50M;A1991;0,00;0,00;0,00;0,739130435;0,260869565;0,00;0,00;0,00;0,00
ID0051;La27-25_ Lo65-25;WS50M;A1992;0,00;0,00;0,00;0,917391304;0,082608696;0,00;0,00;0,00;0,00
ID0052;La27-25_ Lo65-25;WS50M;A1993;0,00;0,00;0,00;0,886956522;0,113043478;0,00;0,00;0,00;0,00
ID0053;La27-25_ Lo65-25;WS50M;A1994;0,00;0,00;0,00;0,704347826;0,295652174;0,00;0,00;0,00;0,00
ID0054;La27-25_ Lo65-25;WS50M;A1995;0,00;0,00;0,00;0,582608696;0,417391304;0,00;0,00;0,00;0,00
ID0055;La27-25_ Lo65-25;WS50M;A1996;0,00;0,00;0,00;0,77826087;0,22173913;0,00;0,00;0,00;0,00
ID0056;La27-25_ Lo65-25;WS50M;A1997;0,00;0,00;0,00;0,8;0,2;0,00;0,00;0,00;0,00
ID0057;La27-25_ Lo65-25;WS50M;A1998;0,00;0,00;0,00;0,708695652;0,291304348;0,00;0,00;0,00;0,00
ID0058;La27-25_ Lo65-25;WS50M;A1999;0,00;0,00;0,00;0,852173913;0,147826087;0,00;0,00;0,00;0,00
ID0059;La27-25_ Lo65-25;WS50M;A2000;0,00;0,00;0,00;0,817391304;0,182608696;0,00;0,00;0,00;0,00
ID0060;La27-25_ Lo65-25;WS50M;A2001;0,00;0,00;0,00;0,8;0,2;0,00;0,00;0,00;0,00
ID0061;La27-25_ Lo65-25;WS50M;A2002;0,00;0,00;0,00;0,747826087;0,252173913;0,00;0,00;0,00;0,00
ID0062;La27-25_ Lo65-25;WS50M;A2003;0,00;0,00;0,00;0,87826087;0,12173913;0,00;0,00;0,00;0,00
ID0063;La27-25_ Lo65-25;WS50M;A2004;0,00;0,00;0,00;0,908695652;0,091304348;0,00;0,00;0,00;0,00
ID0064;La27-25_ Lo65-25;WS50M;A2005;0,00;0,00;0,00;0,730434783;0,269565217;0,00;0,00;0,00;0,00
ID0065;La27-25_ Lo65-25;WS50M;A2006;0,00;0,00;0,00;0,6;0,4;0,00;0,00;0,00;0,00
ID0066;La27-25_ Lo65-25;WS50M;A2007;0,00;0,00;0,00;0,786956522;0,213043478;0,00;0,00;0,00;0,00
ID0067;La27-25_ Lo65-25;WS50M;A2008;0,00;0,00;0,00;0,756521739;0,243478261;0,00;0,00;0,00;0,00
ID0068;La27-25_ Lo65-25;WS50M;A2009;0,00;0,00;0,00;0,760869565;0,239130435;0,00;0,00;0,00;0,00
ID0069;La27-25_ Lo65-25;WS50M;A2010;0,00;0,00;0,00;0,782608696;0,217391304;0,00;0,00;0,00;0,00
ID0070;La27-25_ Lo65-25;WS50M;A2011;0,00;0,00;0,00;0,847826087;0,152173913;0,00;0,00;0,00;0,00
ID0071;La27-25_ Lo65-25;WS50M;A2012;0,00;0,00;0,00;0,765217391;0,234782609;0,00;0,00;0,00;0,00
ID0072;La27-25_ Lo65-25;WS50M;A2013;0,00;0,00;0,00;0,786956522;0,213043478;0,00;0,00;0,00;0,00
ID0073;La27-25_ Lo65-25;WS50M;A2014;0,00;0,00;0,00;0,682608696;0,317391304;0,00;0,00;0,00;0,00
ID0074;La27-25_ Lo65-25;WS50M;A2015;0,00;0,00;0,015384615;0,984210526;0,00;0,00;0,00;0,00;0,00
ID0075;La27-25_ Lo65-25;WS50M;A2016;0,00;0,00;0,00;0,843478261;0,156521739;0,00;0,00;0,00;0,00
ID0076;La27-25_ Lo65-25;WS50M;A2017;0,00;0,00;0,061538462;0,936842105;0,00;0,00;0,00;0,00;0,00
ID0077;La27-25_ Lo65-25;WS50M;A2018;0,00;0,00;0,020512821;0,978947368;0,00;0,00;0,00;0,00;0,00
ID0078;La27-25_ Lo65-25;WS50M;A2019;0,00;0,00;0,00;0,826086957;0,173913043;0,00;0,00;0,00;0,00
ID0079;La27-25_ Lo65-75;WS10M;A1981;0,00;0,00;0,692307692;0,289473684;0,00;0,00;0,00;0,00;0,00
ID0080;La27-25_ Lo65-75;WS10M;A1982;0,00;0,00;0,523076923;0,463157895;0,00;0,00;0,00;0,00;0,00
ID0081;La27-25_ Lo65-75;WS10M;A1983;0,00;0,00;0,707692308;0,273684211;0,00;0,00;0,00;0,00;0,00
ID0082;La27-25_ Lo65-75;WS10M;A1984;0,00;0,00;0,641025641;0,342105263;0,00;0,00;0,00;0,00;0,00
ID0083;La27-25_ Lo65-75;WS10M;A1985;0,00;0,00;0,579487179;0,405263158;0,00;0,00;0,00;0,00;0,00
ID0084;La27-25_ Lo65-75;WS10M;A1986;0,00;0,00;0,574358974;0,410526316;0,00;0,00;0,00;0,00;0,00
ID0085;La27-25_ Lo65-75;WS10M;A1987;0,00;0,00;0,717948718;0,263157895;0,00;0,00;0,00;0,00;0,00
ID0086;La27-25_ Lo65-75;WS10M;A1988;0,00;0,00;0,646153846;0,336842105;0,00;0,00;0,00;0,00;0,00
ID0087;La27-25_ Lo65-75;WS10M;A1989;0,00;0,00;0,620512821;0,363157895;0,00;0,00;0,00;0,00;0,00
ID0088;La27-25_ Lo65-75;WS10M;A1990;0,00;0,00;0,8;0,178947368;0,00;0,00;0,00;0,00;0,00
ID0089;La27-25_ Lo65-75;WS10M;A1991;0,00;0,00;0,630769231;0,352631579;0,00;0,00;0,00;0,00;0,00
ID0090;La27-25_ Lo65-75;WS10M;A1992;0,00;0,00;0,702564103;0,278947368;0,00;0,00;0,00;0,00;0,00
ID0091;La27-25_ Lo65-75;WS10M;A1993;0,00;0,00;0,635897436;0,347368421;0,00;0,00;0,00;0,00;0,00
ID0092;La27-25_ Lo65-75;WS10M;A1994;0,00;0,00;0,558974359;0,426315789;0,00;0,00;0,00;0,00;0,00
ID0093;La27-25_ Lo65-75;WS10M;A1995;0,00;0,00;0,461538462;0,526315789;0,00;0,00;0,00;0,00;0,00
ID0094;La27-25_ Lo65-75;WS10M;A1996;0,00;0,00;0,574358974;0,410526316;0,00;0,00;0,00;0,00;0,00
ID0095;La27-25_ Lo65-75;WS10M;A1997;0,00;0,00;0,605128205;0,378947368;0,00;0,00;0,00;0,00;0,00
ID0096;La27-25_ Lo65-75;WS10M;A1998;0,00;0,00;0,615384615;0,368421053;0,00;0,00;0,00;0,00;0,00
ID0097;La27-25_ Lo65-75;WS10M;A1999;0,00;0,00;0,671794872;0,310526316;0,00;0,00;0,00;0,00;0,00
ID0098;La27-25_ Lo65-75;WS10M;A2000;0,00;0,00;0,61025641;0,373684211;0,00;0,00;0,00;0,00;0,00
ID0099;La27-25_ Lo65-75;WS10M;A2001;0,00;0,00;0,553846154;0,431578947;0,00;0,00;0,00;0,00;0,00
ID0100;La27-25_ Lo65-75;WS10M;A2002;0,00;0,00;0,635897436;0,347368421;0,00;0,00;0,00;0,00;0,00
ID0101;La27-25_ Lo65-75;WS10M;A2003;0,00;0,00;0,620512821;0,363157895;0,00;0,00;0,00;0,00;0,00
ID0102;La27-25_ Lo65-75;WS10M;A2004;0,00;0,00;0,635897436;0,347368421;0,00;0,00;0,00;0,00;0,00
ID0103;La27-25_ Lo65-75;WS10M;A2005;0,00;0,00;0,579487179;0,405263158;0,00;0,00;0,00;0,00;0,00
ID0104;La27-25_ Lo65-75;WS10M;A2006;0,00;0,00;0,523076923;0,463157895;0,00;0,00;0,00;0,00;0,00
ID0105;La27-25_ Lo65-75;WS10M;A2007;0,00;0,00;0,61025641;0,373684211;0,00;0,00;0,00;0,00;0,00
ID0106;La27-25_ Lo65-75;WS10M;A2008;0,00;0,00;0,58974359;0,394736842;0,00;0,00;0,00;0,00;0,00
ID0107;La27-25_ Lo65-75;WS10M;A2009;0,00;0,00;0,58974359;0,394736842;0,00;0,00;0,00;0,00;0,00
ID0108;La27-25_ Lo65-75;WS10M;A2010;0,00;0,00;0,656410256;0,326315789;0,00;0,00;0,00;0,00;0,00
ID0109;La27-25_ Lo65-75;WS10M;A2011;0,00;0,00;0,651282051;0,331578947;0,00;0,00;0,00;0,00;0,00
ID0110;La27-25_ Lo65-75;WS10M;A2012;0,00;0,00;0,548717949;0,436842105;0,00;0,00;0,00;0,00;0,00
ID0111;La27-25_ Lo65-75;WS10M;A2013;0,00;0,00;0,620512821;0,363157895;0,00;0,00;0,00;0,00;0,00
ID0112;La27-25_ Lo65-75;WS10M;A2014;0,00;0,00;0,605128205;0,378947368;0,00;0,00;0,00;0,00;0,00
ID0113;La27-25_ Lo65-75;WS10M;A2015;0,00;0,00;0,805128205;0,173684211;0,00;0,00;0,00;0,00;0,00
ID0114;La27-25_ Lo65-75;WS10M;A2016;0,00;0,00;0,594871795;0,389473684;0,00;0,00;0,00;0,00;0,00
ID0115;La27-25_ Lo65-75;WS10M;A2017;0,00;0,00;0,779487179;0,2;0,00;0,00;0,00;0,00;0,00
ID0116;La27-25_ Lo65-75;WS10M;A2018;0,00;0,00;0,764102564;0,215789474;0,00;0,00;0,00;0,00;0,00
ID0117;La27-25_ Lo65-75;WS10M;A2019;0,00;0,00;0,61025641;0,373684211;0,00;0,00;0,00;0,00;0,00
ID0118;La27-25_ Lo65-75;WS50M;A1981;0,00;0,00;0,4;0,589473684;0,00;0,00;0,00;0,00;0,00
ID0119;La27-25_ Lo65-75;WS50M;A1982;0,00;0,00;0,174358974;0,821052632;0,00;0,00;0,00;0,00;0,00
ID0120;La27-25_ Lo65-75;WS50M;A1983;0,00;0,00;0,384615385;0,605263158;0,00;0,00;0,00;0,00;0,00
ID0121;La27-25_ Lo65-75;WS50M;A1984;0,00;0,00;0,256410256;0,736842105;0,00;0,00;0,00;0,00;0,00
ID0122;La27-25_ Lo65-75;WS50M;A1985;0,00;0,00;0,230769231;0,763157895;0,00;0,00;0,00;0,00;0,00
ID0123;La27-25_ Lo65-75;WS50M;A1986;0,00;0,00;0,235897436;0,757894737;0,00;0,00;0,00;0,00;0,00
ID0124;La27-25_ Lo65-75;WS50M;A1987;0,00;0,00;0,379487179;0,610526316;0,00;0,00;0,00;0,00;0,00
ID0125;La27-25_ Lo65-75;WS50M;A1988;0,00;0,00;0,323076923;0,668421053;0,00;0,00;0,00;0,00;0,00
ID0126;La27-25_ Lo65-75;WS50M;A1989;0,00;0,00;0,312820513;0,678947368;0,00;0,00;0,00;0,00;0,00
ID0127;La27-25_ Lo65-75;WS50M;A1990;0,00;0,00;0,528205128;0,457894737;0,00;0,00;0,00;0,00;0,00
ID0128;La27-25_ Lo65-75;WS50M;A1991;0,00;0,00;0,307692308;0,684210526;0,00;0,00;0,00;0,00;0,00
ID0129;La27-25_ Lo65-75;WS50M;A1992;0,00;0,00;0,384615385;0,605263158;0,00;0,00;0,00;0,00;0,00
ID0130;La27-25_ Lo65-75;WS50M;A1993;0,00;0,00;0,348717949;0,642105263;0,00;0,00;0,00;0,00;0,00
ID0131;La27-25_ Lo65-75;WS50M;A1994;0,00;0,00;0,230769231;0,763157895;0,00;0,00;0,00;0,00;0,00
ID0132;La27-25_ Lo65-75;WS50M;A1995;0,00;0,00;0,082051282;0,915789474;0,00;0,00;0,00;0,00;0,00
ID0133;La27-25_ Lo65-75;WS50M;A1996;0,00;0,00;0,251282051;0,742105263;0,00;0,00;0,00;0,00;0,00
ID0134;La27-25_ Lo65-75;WS50M;A1997;0,00;0,00;0,302564103;0,689473684;0,00;0,00;0,00;0,00;0,00
ID0135;La27-25_ Lo65-75;WS50M;A1998;0,00;0,00;0,297435897;0,694736842;0,00;0,00;0,00;0,00;0,00
ID0136;La27-25_ Lo65-75;WS50M;A1999;0,00;0,00;0,312820513;0,678947368;0,00;0,00;0,00;0,00;0,00
ID0137;La27-25_ Lo65-75;WS50M;A2000;0,00;0,00;0,261538462;0,731578947;0,00;0,00;0,00;0,00;0,00
ID0138;La27-25_ Lo65-75;WS50M;A2001;0,00;0,00;0,251282051;0,742105263;0,00;0,00;0,00;0,00;0,00
ID0139;La27-25_ Lo65-75;WS50M;A2002;0,00;0,00;0,307692308;0,684210526;0,00;0,00;0,00;0,00;0,00
ID0140;La27-25_ Lo65-75;WS50M;A2003;0,00;0,00;0,292307692;0,7;0,00;0,00;0,00;0,00;0,00
ID0141;La27-25_ Lo65-75;WS50M;A2004;0,00;0,00;0,328205128;0,663157895;0,00;0,00;0,00;0,00;0,00
ID0142;La27-25_ Lo65-75;WS50M;A2005;0,00;0,00;0,246153846;0,747368421;0,00;0,00;0,00;0,00;0,00
ID0143;La27-25_ Lo65-75;WS50M;A2006;0,00;0,00;0,169230769;0,826315789;0,00;0,00;0,00;0,00;0,00
ID0144;La27-25_ Lo65-75;WS50M;A2007;0,00;0,00;0,266666667;0,726315789;0,00;0,00;0,00;0,00;0,00
ID0145;La27-25_ Lo65-75;WS50M;A2008;0,00;0,00;0,241025641;0,752631579;0,00;0,00;0,00;0,00;0,00
ID0146;La27-25_ Lo65-75;WS50M;A2009;0,00;0,00;0,302564103;0,689473684;0,00;0,00;0,00;0,00;0,00
ID0147;La27-25_ Lo65-75;WS50M;A2010;0,00;0,00;0,333333333;0,657894737;0,00;0,00;0,00;0,00;0,00
ID0148;La27-25_ Lo65-75;WS50M;A2011;0,00;0,00;0,307692308;0,684210526;0,00;0,00;0,00;0,00;0,00
ID0149;La27-25_ Lo65-75;WS50M;A2012;0,00;0,00;0,220512821;0,773684211;0,00;0,00;0,00;0,00;0,00
ID0150;La27-25_ Lo65-75;WS50M;A2013;0,00;0,00;0,312820513;0,678947368;0,00;0,00;0,00;0,00;0,00
ID0151;La27-25_ Lo65-75;WS50M;A2014;0,00;0,00;0,251282051;0,742105263;0,00;0,00;0,00;0,00;0,00
ID0152;La27-25_ Lo65-75;WS50M;A2015;0,00;0,00;0,553846154;0,431578947;0,00;0,00;0,00;0,00;0,00
ID0153;La27-25_ Lo65-75;WS50M;A2016;0,00;0,00;0,292307692;0,7;0,00;0,00;0,00;0,00;0,00
ID0154;La27-25_ Lo65-75;WS50M;A2017;0,00;0,00;0,533333333;0,452631579;0,00;0,00;0,00;0,00;0,00
ID0155;La27-25_ Lo65-75;WS50M;A2018;0,00;0,00;0,476923077;0,510526316;0,00;0,00;0,00;0,00;0,00
ID0156;La27-25_ Lo65-75;WS50M;A2019;0,00;0,00;0,287179487;0,705263158;0,00;0,00;0,00;0,00;0,00
ID0157;La27-25_ Lo66-25;WS10M;A1981;0,00;0,00;0,502564103;0,484210526;0,00;0,00;0,00;0,00;0,00
ID0158;La27-25_ Lo66-25;WS10M;A1982;0,00;0,00;0,348717949;0,642105263;0,00;0,00;0,00;0,00;0,00
ID0159;La27-25_ Lo66-25;WS10M;A1983;0,00;0,00;0,569230769;0,415789474;0,00;0,00;0,00;0,00;0,00
ID0160;La27-25_ Lo66-25;WS10M;A1984;0,00;0,00;0,425641026;0,563157895;0,00;0,00;0,00;0,00;0,00
ID0161;La27-25_ Lo66-25;WS10M;A1985;0,00;0,00;0,451282051;0,536842105;0,00;0,00;0,00;0,00;0,00
ID0162;La27-25_ Lo66-25;WS10M;A1986;0,00;0,00;0,425641026;0,563157895;0,00;0,00;0,00;0,00;0,00
ID0163;La27-25_ Lo66-25;WS10M;A1987;0,00;0,00;0,502564103;0,484210526;0,00;0,00;0,00;0,00;0,00
ID0164;La27-25_ Lo66-25;WS10M;A1988;0,00;0,00;0,487179487;0,5;0,00;0,00;0,00;0,00;0,00
ID0165;La27-25_ Lo66-25;WS10M;A1989;0,00;0,00;0,502564103;0,484210526;0,00;0,00;0,00;0,00;0,00
ID0166;La27-25_ Lo66-25;WS10M;A1990;0,00;0,00;0,656410256;0,326315789;0,00;0,00;0,00;0,00;0,00
ID0167;La27-25_ Lo66-25;WS10M;A1991;0,00;0,00;0,507692308;0,478947368;0,00;0,00;0,00;0,00;0,00
ID0168;La27-25_ Lo66-25;WS10M;A1992;0,00;0,00;0,533333333;0,452631579;0,00;0,00;0,00;0,00;0,00
ID0169;La27-25_ Lo66-25;WS10M;A1993;0,00;0,00;0,466666667;0,521052632;0,00;0,00;0,00;0,00;0,00
ID0170;La27-25_ Lo66-25;WS10M;A1994;0,00;0,00;0,384615385;0,605263158;0,00;0,00;0,00;0,00;0,00
ID0171;La27-25_ Lo66-25;WS10M;A1995;0,00;0,00;0,230769231;0,763157895;0,00;0,00;0,00;0,00;0,00
ID0172;La27-25_ Lo66-25;WS10M;A1996;0,00;0,00;0,287179487;0,705263158;0,00;0,00;0,00;0,00;0,00
ID0173;La27-25_ Lo66-25;WS10M;A1997;0,00;0,00;0,415384615;0,573684211;0,00;0,00;0,00;0,00;0,00
ID0174;La27-25_ Lo66-25;WS10M;A1998;0,00;0,00;0,466666667;0,521052632;0,00;0,00;0,00;0,00;0,00
ID0175;La27-25_ Lo66-25;WS10M;A1999;0,00;0,00;0,353846154;0,636842105;0,00;0,00;0,00;0,00;0,00
ID0176;La27-25_ Lo66-25;WS10M;A2000;0,00;0,00;0,415384615;0,573684211;0,00;0,00;0,00;0,00;0,00
ID0177;La27-25_ Lo66-25;WS10M;A2001;0,00;0,00;0,497435897;0,489473684;0,00;0,00;0,00;0,00;0,00
ID0178;La27-25_ Lo66-25;WS10M;A2002;0,00;0,00;0,441025641;0,547368421;0,00;0,00;0,00;0,00;0,00
ID0179;La27-25_ Lo66-25;WS10M;A2003;0,00;0,00;0,41025641;0,578947368;0,00;0,00;0,00;0,00;0,00
ID0180;La27-25_ Lo66-25;WS10M;A2004;0,00;0,00;0,379487179;0,610526316;0,00;0,00;0,00;0,00;0,00
ID0181;La27-25_ Lo66-25;WS10M;A2005;0,00;0,00;0,307692308;0,684210526;0,00;0,00;0,00;0,00;0,00
ID0182;La27-25_ Lo66-25;WS10M;A2006;0,00;0,00;0,420512821;0,568421053;0,00;0,00;0,00;0,00;0,00
ID0183;La27-25_ Lo66-25;WS10M;A2007;0,00;0,00;0,441025641;0,547368421;0,00;0,00;0,00;0,00;0,00
ID0184;La27-25_ Lo66-25;WS10M;A2008;0,00;0,00;0,435897436;0,552631579;0,00;0,00;0,00;0,00;0,00
ID0185;La27-25_ Lo66-25;WS10M;A2009;0,00;0,00;0,441025641;0,547368421;0,00;0,00;0,00;0,00;0,00
ID0186;La27-25_ Lo66-25;WS10M;A2010;0,00;0,00;0,605128205;0,378947368;0,00;0,00;0,00;0,00;0,00
ID0187;La27-25_ Lo66-25;WS10M;A2011;0,00;0,00;0,487179487;0,5;0,00;0,00;0,00;0,00;0,00
ID0188;La27-25_ Lo66-25;WS10M;A2012;0,00;0,00;0,364102564;0,626315789;0,00;0,00;0,00;0,00;0,00
ID0189;La27-25_ Lo66-25;WS10M;A2013;0,00;0,00;0,569230769;0,415789474;0,00;0,00;0,00;0,00;0,00
ID0190;La27-25_ Lo66-25;WS10M;A2014;0,00;0,00;0,41025641;0,578947368;0,00;0,00;0,00;0,00;0,00
ID0191;La27-25_ Lo66-25;WS10M;A2015;0,00;0,00;0,733333333;0,247368421;0,00;0,00;0,00;0,00;0,00
ID0192;La27-25_ Lo66-25;WS10M;A2016;0,00;0,00;0,405128205;0,584210526;0,00;0,00;0,00;0,00;0,00
ID0193;La27-25_ Lo66-25;WS10M;A2017;0,00;0,00;0,630769231;0,352631579;0,00;0,00;0,00;0,00;0,00
ID0194;La27-25_ Lo66-25;WS10M;A2018;0,00;0,00;0,569230769;0,415789474;0,00;0,00;0,00;0,00;0,00
ID0195;La27-25_ Lo66-25;WS10M;A2019;0,00;0,00;0,497435897;0,489473684;0,00;0,00;0,00;0,00;0,00
ID0196;La27-25_ Lo66-25;WS50M;A1981;0,00;0,00;0,256410256;0,736842105;0,00;0,00;0,00;0,00;0,00
ID0197;La27-25_ Lo66-25;WS50M;A1982;0,00;0,00;0,01025641;0,989473684;0,00;0,00;0,00;0,00;0,00
ID0198;La27-25_ Lo66-25;WS50M;A1983;0,00;0,00;0,235897436;0,757894737;0,00;0,00;0,00;0,00;0,00
ID0199;La27-25_ Lo66-25;WS50M;A1984;0,00;0,00;0,030769231;0,968421053;0,00;0,00;0,00;0,00;0,00
ID0200;La27-25_ Lo66-25;WS50M;A1985;0,00;0,00;0,128205128;0,868421053;0,00;0,00;0,00;0,00;0,00
