"";"V1_Calma";"V2_Ventolina";"V3_BrisaMuyDebil";"V4_BrisaDebilFlojo";"V5_BrisaModerada";"V6_BrisaFresca";"V7_BrisaFuerte";"v8_VientoFuerte";"v9_Temporal";"LOCALIDAD";"PARAMETRO";"MES"
"29";"0e+00";"0.000e+00";"0.000e+00";"4.261e-01";"5.739e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo67.75";"WS50M";"enero"
"30";"0e+00";"0.000e+00";"0.000e+00";"9.130e-01";"8.700e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo67.75";"WS10M";"enero"
"31";"0e+00";"0.000e+00";"0.000e+00";"3.043e-01";"6.957e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo67.25";"WS50M";"enero"
"32";"0e+00";"0.000e+00";"0.000e+00";"8.522e-01";"1.478e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo67.25";"WS10M";"enero"
"33";"0e+00";"0.000e+00";"0.000e+00";"2.043e-01";"7.957e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo66.75";"WS50M";"enero"
"34";"0e+00";"0.000e+00";"0.000e+00";"8.478e-01";"1.522e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo66.75";"WS10M";"enero"
"35";"0e+00";"0.000e+00";"0.000e+00";"1.826e-01";"8.174e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo66.25";"WS50M";"enero"
"36";"0e+00";"0.000e+00";"0.000e+00";"8.609e-01";"1.391e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo66.25";"WS10M";"enero"
"37";"0e+00";"0.000e+00";"0.000e+00";"6.826e-01";"3.174e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo65.75";"WS50M";"enero"
"38";"0e+00";"0.000e+00";"5.538e-01";"4.462e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo65.75";"WS10M";"enero"
"39";"0e+00";"0.000e+00";"0.000e+00";"8.478e-01";"1.522e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo65.25";"WS50M";"enero"
"40";"0e+00";"0.000e+00";"6.667e-01";"3.333e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La31.25Lo65.25";"WS10M";"enero"
"41";"0e+00";"0.000e+00";"6.513e-01";"3.487e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo69.75";"WS50M";"enero"
"42";"0e+00";"0.000e+00";"8.667e-01";"1.333e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo69.75";"WS10M";"enero"
"43";"0e+00";"0.000e+00";"4.154e-01";"5.846e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo69.25";"WS50M";"enero"
"44";"0e+00";"0.000e+00";"5.231e-01";"4.769e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo69.25";"WS10M";"enero"
"45";"0e+00";"0.000e+00";"0.000e+00";"9.783e-01";"2.170e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo68.75";"WS50M";"enero"
"46";"0e+00";"0.000e+00";"2.769e-01";"7.231e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo68.75";"WS10M";"enero"
"47";"0e+00";"0.000e+00";"0.000e+00";"6.261e-01";"3.739e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo68.25";"WS50M";"enero"
"48";"0e+00";"0.000e+00";"6.150e-02";"9.385e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo68.25";"WS10M";"enero"
"49";"0e+00";"0.000e+00";"0.000e+00";"5.000e-01";"5.000e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo67.75";"WS50M";"enero"
"50";"0e+00";"0.000e+00";"0.000e+00";"9.609e-01";"3.910e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo67.75";"WS10M";"enero"
"51";"0e+00";"0.000e+00";"0.000e+00";"4.043e-01";"5.957e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo67.25";"WS50M";"enero"
"52";"0e+00";"0.000e+00";"0.000e+00";"9.174e-01";"8.260e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo67.25";"WS10M";"enero"
"53";"0e+00";"0.000e+00";"0.000e+00";"3.000e-01";"7.000e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo66.75";"WS50M";"enero"
"54";"0e+00";"0.000e+00";"0.000e+00";"9.087e-01";"9.130e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo66.75";"WS10M";"enero"
"55";"0e+00";"0.000e+00";"0.000e+00";"2.913e-01";"7.087e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo66.25";"WS50M";"enero"
"56";"0e+00";"0.000e+00";"0.000e+00";"9.174e-01";"8.260e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo66.25";"WS10M";"enero"
"57";"0e+00";"0.000e+00";"0.000e+00";"6.261e-01";"3.739e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo65.75";"WS50M";"enero"
"58";"0e+00";"0.000e+00";"4.513e-01";"5.487e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo65.75";"WS10M";"enero"
"59";"0e+00";"0.000e+00";"0.000e+00";"8.565e-01";"1.435e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo65.25";"WS50M";"enero"
"60";"0e+00";"0.000e+00";"7.538e-01";"2.462e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La30.75Lo65.25";"WS10M";"enero"
