"";"seco";"fresco";"HORMIGUERO";"SITIO";"MES";"ESPECIE_VEGETAL";"ESTADO";"ORGANO"
"ID458";0;1;"H7";"V";"MAR";"I";"verde";"hoja"
"ID459";1;0;"H7";"V";"MAR";"AQ";"seco";"hoja"
"ID460";1;0;"H7";"V";"MAR";"sin";"seco";"fruto"
"ID461";0;1;"H7";"V";"MAR";"T";"verde";"fruto"
"ID462";1;0;"H7";"V";"MAR";"A";"seco";"fruto"
"ID463";1;0;"H9";"V";"MAR";"AQ";"seco";"hoja"
"ID464";1;0;"H9";"V";"MAR";"I";"seco";"hoja"
"ID465";1;0;"H9";"V";"MAR";"sin";"seco";"tallo"
"ID466";1;0;"H9";"V";"MAR";"AD";"seco";"hoja"
"ID467";0;1;"H9";"V";"MAR";"sin";"verde";"hoja"
"ID468";1;0;"H11";"M";"MAR";"sin";"seco";"tallo"
"ID469";0;1;"H11";"M";"MAR";"AD";"verde";"hoja"
"ID470";0;1;"H11";"M";"MAR";"sin";"verde";"hoja"
"ID471";1;0;"H11";"M";"MAR";"F";"seco";"fruto"
"ID472";1;0;"H11";"M";"MAR";"S";"seco";"flor"
"ID473";1;0;"H11";"M";"MAR";"AJ";"seco";"flor"
"ID474";0;1;"H11";"M";"MAR";"sin";"verde";"fruto"
"ID475";1;0;"H11";"M";"MAR";"sin";"seco";"hoja"
