"id";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"HORMIGUERO";"SITIO";"MES";"ESPECIE_VEGETAL";"ESTADO";"ORGANO"
"ID144";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H6";"V";"DIC";"sin";"seco";"tallo"
"ID145";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H6";"V";"DIC";"sin";"verde";"tallo"
"ID146";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H6";"V";"DIC";"sin";"verde";"flor"
"ID147";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H6";"V";"DIC";"Y";"verde";"flor"
"ID148";0,960005441285478;0,278037300453194;0,00597602289500594;1,5497531357029e-07;1,26641655490942e-14;9,72098502030078e-21;5,76832996124788e-28;"H7";"V";"DIC";"sin";"seco";"tallo"
"ID149";0,960005441285478;0,278037300453194;0,00597602289500594;1,5497531357029e-07;1,26641655490942e-14;9,72098502030078e-21;5,76832996124788e-28;"H7";"V";"DIC";"sin";"verde";"tallo"
"ID150";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H7";"V";"DIC";"Y";"verde";"hoja"
"ID151";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H7";"V";"DIC";"P";"verde";"flor"
"ID152";0,230066298993809;0,923116346386636;0,486752255959972;0,00153381067932446;1,52299797447126e-08;2,8679750088881e-13;4,17501005585051e-19;"H8";"V";"DIC";"sin";"seco";"tallo"
"ID153";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H8";"V";"DIC";"sin";"verde";"hoja"
"ID154";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H8";"V";"DIC";"AQ";"verde";"tallo"
"ID155";0,000102702564619655;0,000335462627902512;0,0561347628341337;1;0,0561347628341337;0,000335462627902512;1,5497531357029e-07;"H8";"V";"DIC";"AQ";"verde";"hoja"
"ID156";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H9";"V";"DIC";"AD";"verde";"hoja"
"ID157";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H9";"V";"DIC";"sin";"seco";"tallo"
"ID158";0,692569324205198;0,726149037073691;0,0561347628341337;9,92950430585108e-06;5,53461007170101e-12;1,5279799682873e-17;3,26102718071105e-24;"H12";"M";"DIC";"sin";"seco";"tallo"
"ID159";0,960005441285478;0,278037300453194;0,00597602289500594;1,5497531357029e-07;1,26641655490942e-14;9,72098502030078e-21;5,76832996124788e-28;"H12";"M";"DIC";"T";"seco";"hoja"
"ID160";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H12";"M";"DIC";"sin";"verde";"flor"
"ID161";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H12";"M";"DIC";"W";"verde";"flor"
"ID162";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H12";"M";"DIC";"W";"verde";"hoja"
"ID163";0,230066298993809;0,923116346386636;0,486752255959972;0,00153381067932446;1,52299797447126e-08;2,8679750088881e-13;4,17501005585051e-19;"H11";"M";"DIC";"sin";"seco";"tallo"
"ID164";0,849365816568312;0,486752255959972;0,0198410947443703;1,34381227763152e-06;2,8679750088881e-13;4,17501005585051e-19;4,69835486089801e-26;"H11";"M";"DIC";"sin";"verde";"tallo"
"ID165";0,520450121020702;0,923116346386636;0,135335283236613;6,25215037748203e-05;9,10147076448794e-11;4,76530473529909e-16;1,92874984796392e-22;"H11";"M";"DIC";"AD";"verde";"hoja"
"ID166";0,960005441285478;0,278037300453194;0,00597602289500594;1,5497531357029e-07;1,26641655490942e-14;9,72098502030078e-21;5,76832996124788e-28;"H11";"M";"DIC";"AQ";"verde";"hoja"
"ID167";0,960005441285478;0,278037300453194;0,00597602289500594;1,5497531357029e-07;1,26641655490942e-14;9,72098502030078e-21;5,76832996124788e-28;"H11";"M";"DIC";"AQ";"seco";"hoja"
"ID168";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H11";"M";"DIC";"N";"verde";"flor"
"ID169";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H11";"M";"DIC";"sin";"seco";"fruto"
"ID170";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H11";"M";"DIC";"AH";"verde";"flor"
"ID171";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H11";"M";"DIC";"sin";"seco";"hoja"
"ID172";0,849365816568312;0,486752255959972;0,0198410947443703;1,34381227763152e-06;2,8679750088881e-13;4,17501005585051e-19;4,69835486089801e-26;"H11";"M";"DIC";"sin";"verde";"flor"
"ID173";1;0,135335283236613;0,00153381067932446;1,52299797447126e-08;4,76530473529909e-16;1,92874984796392e-22;6,03486080597101e-30;"H11";"M";"DIC";"J";"verde";"hoja"
