ID;LOCALIDAD;PARAMETRO;MES;Viento
I0103;La29.25Lo69.25;WS50M;enero;3.06
I0104;La29.25Lo69.25;WS10M;enero;2.78
I0105;La29.25Lo68.75;WS50M;enero;3.71
I0106;La29.25Lo68.75;WS10M;enero;3.57
I0107;La29.25Lo68.25;WS50M;enero;3.67
I0108;La29.25Lo68.25;WS10M;enero;3.22
I0109;La29.25Lo67.75;WS50M;enero;3.34
I0110;La29.25Lo67.75;WS10M;enero;3.03
I0111;La29.25Lo67.25;WS50M;enero;3.48
I0112;La29.25Lo67.25;WS10M;enero;3.15
I0113;La29.25Lo66.75;WS50M;enero;4.13
I0114;La29.25Lo66.75;WS10M;enero;3.47
I0115;La29.25Lo66.25;WS50M;enero;5.14
I0116;La29.25Lo66.25;WS10M;enero;4.04
I0117;La29.25Lo65.75;WS50M;enero;5.22
I0118;La29.25Lo65.75;WS10M;enero;3.86
I0119;La29.25Lo65.25;WS50M;enero;5.11
I0120;La29.25Lo65.25;WS10M;enero;3.42
I0121;La28.75Lo69.75;WS50M;enero;3.5
I0122;La28.75Lo69.75;WS10M;enero;3.48
I0123;La28.75Lo69.25;WS50M;enero;3.72
I0124;La28.75Lo69.25;WS10M;enero;3.21
I0125;La28.75Lo68.75;WS50M;enero;3.96
I0126;La28.75Lo68.75;WS10M;enero;3.72
I0127;La28.75Lo68.25;WS50M;enero;3.2
I0128;La28.75Lo68.25;WS10M;enero;2.91
I0129;La28.75Lo67.75;WS50M;enero;2.94
I0130;La28.75Lo67.75;WS10M;enero;2.7
I0131;La28.75Lo67.25;WS50M;enero;3.13
I0132;La28.75Lo67.25;WS10M;enero;2.81
I0133;La28.75Lo66.75;WS50M;enero;3.77
I0134;La28.75Lo66.75;WS10M;enero;3.15
I0135;La28.75Lo66.25;WS50M;enero;4.11
I0136;La28.75Lo66.25;WS10M;enero;3.34
I0137;La28.75Lo65.75;WS50M;enero;4.51
I0138;La28.75Lo65.75;WS10M;enero;3.36
I0139;La28.75Lo65.25;WS50M;enero;4.54
I0140;La28.75Lo65.25;WS10M;enero;2.93
I0141;La28.25Lo69.75;WS50M;enero;3.55
I0142;La28.25Lo69.75;WS10M;enero;3.68
I0143;La28.25Lo69.25;WS50M;enero;4.21
I0144;La28.25Lo69.25;WS10M;enero;3.79
I0145;La28.25Lo68.75;WS50M;enero;4.22
I0146;La28.25Lo68.75;WS10M;enero;3.75
I0147;La28.25Lo68.25;WS50M;enero;3.01
I0148;La28.25Lo68.25;WS10M;enero;2.9
I0149;La28.25Lo67.75;WS50M;enero;3
I0150;La28.25Lo67.75;WS10M;enero;2.86
I0151;La28.25Lo67.25;WS50M;enero;3.19
I0152;La28.25Lo67.25;WS10M;enero;2.79
I0153;La28.25Lo66.75;WS50M;enero;3.6
I0154;La28.25Lo66.75;WS10M;enero;2.89
I0155;La28.25Lo66.25;WS50M;enero;3.96
I0156;La28.25Lo66.25;WS10M;enero;3.25
I0157;La28.25Lo65.75;WS50M;enero;4.02
I0158;La28.25Lo65.75;WS10M;enero;3.1
I0159;La28.25Lo65.25;WS50M;enero;4.29
I0160;La28.25Lo65.25;WS10M;enero;2.94
I0161;La27.75Lo69.75;WS50M;enero;3.35
I0162;La27.75Lo69.75;WS10M;enero;3.59
I0163;La27.75Lo69.25;WS50M;enero;4.06
I0164;La27.75Lo69.25;WS10M;enero;3.93
I0165;La27.75Lo68.75;WS50M;enero;4.68
I0166;La27.75Lo68.75;WS10M;enero;4.01
I0167;La27.75Lo68.25;WS50M;enero;3.06
I0168;La27.75Lo68.25;WS10M;enero;2.94
I0169;La27.75Lo67.75;WS50M;enero;3.04
I0170;La27.75Lo67.75;WS10M;enero;3.01
I0171;La27.75Lo67.25;WS50M;enero;3.23
I0172;La27.75Lo67.25;WS10M;enero;2.99
I0173;La27.75Lo66.75;WS50M;enero;3.33
I0174;La27.75Lo66.75;WS10M;enero;2.91
I0175;La27.75Lo66.25;WS50M;enero;4.08
I0176;La27.75Lo66.25;WS10M;enero;3.43
I0177;La27.75Lo65.75;WS50M;enero;3.86
I0178;La27.75Lo65.75;WS10M;enero;3.04
I0179;La27.75Lo65.25;WS50M;enero;4.33
I0180;La27.75Lo65.25;WS10M;enero;3.08
I0181;La27.25Lo69.75;WS50M;enero;3.54
I0182;La27.25Lo69.75;WS10M;enero;3.7
I0183;La27.25Lo69.25;WS50M;enero;3.92
I0184;La27.25Lo69.25;WS10M;enero;3.93
I0185;La27.25Lo68.75;WS50M;enero;4.46
I0186;La27.25Lo68.75;WS10M;enero;4.04
I0187;La27.25Lo68.25;WS50M;enero;3.27
I0188;La27.25Lo68.25;WS10M;enero;3.01
I0189;La27.25Lo67.75;WS50M;enero;3.23
I0190;La27.25Lo67.75;WS10M;enero;3.04
I0191;La27.25Lo67.25;WS50M;enero;3.26
I0192;La27.25Lo67.25;WS10M;enero;3.03
I0193;La27.25Lo66.75;WS50M;enero;3.11
I0194;La27.25Lo66.75;WS10M;enero;2.91
I0195;La27.25Lo66.25;WS50M;enero;3.43
I0196;La27.25Lo66.25;WS10M;enero;3.09
I0197;La27.25Lo65.75;WS50M;enero;3.45
I0198;La27.25Lo65.75;WS10M;enero;2.88
I0199;La27.25Lo65.25;WS50M;enero;4.18
I0200;La27.25Lo65.25;WS10M;enero;3.07
I0201;La31.75Lo69.75;WS50M;febrero;3.19
I0202;La31.75Lo69.75;WS10M;febrero;2.89
I0203;La31.75Lo69.25;WS50M;febrero;3.24
I0204;La31.75Lo69.25;WS10M;febrero;2.94
I0205;La31.75Lo68.75;WS50M;febrero;4.65
I0206;La31.75Lo68.75;WS10M;febrero;3.82
I0207;La31.75Lo68.25;WS50M;febrero;5.49
I0208;La31.75Lo68.25;WS10M;febrero;4.27
I0209;La31.75Lo67.75;WS50M;febrero;5.9
I0210;La31.75Lo67.75;WS10M;febrero;4.51
I0211;La31.75Lo67.25;WS50M;febrero;6.06
I0212;La31.75Lo67.25;WS10M;febrero;4.54
I0213;La31.75Lo66.75;WS50M;febrero;6.03
I0214;La31.75Lo66.75;WS10M;febrero;4.39
I0215;La31.75Lo66.25;WS50M;febrero;5.8
I0216;La31.75Lo66.25;WS10M;febrero;4.17
I0217;La31.75Lo65.75;WS50M;febrero;4.92
I0218;La31.75Lo65.75;WS10M;febrero;3.3
I0219;La31.75Lo65.25;WS50M;febrero;4.32
I0220;La31.75Lo65.25;WS10M;febrero;2.89
I0221;La31.25Lo69.75;WS50M;febrero;3.43
I0222;La31.25Lo69.75;WS10M;febrero;3.07
I0223;La31.25Lo69.25;WS50M;febrero;3.49
I0224;La31.25Lo69.25;WS10M;febrero;3.16
I0225;La31.25Lo68.75;WS50M;febrero;4.48
I0226;La31.25Lo68.75;WS10M;febrero;3.75
I0227;La31.25Lo68.25;WS50M;febrero;5.28
I0228;La31.25Lo68.25;WS10M;febrero;4.21
I0229;La31.25Lo67.75;WS50M;febrero;5.6
I0230;La31.25Lo67.75;WS10M;febrero;4.39
I0231;La31.25Lo67.25;WS50M;febrero;5.9
I0232;La31.25Lo67.25;WS10M;febrero;4.49
I0233;La31.25Lo66.75;WS50M;febrero;6.07
I0234;La31.25Lo66.75;WS10M;febrero;4.45
I0235;La31.25Lo66.25;WS50M;febrero;5.92
I0236;La31.25Lo66.25;WS10M;febrero;4.26
I0237;La31.25Lo65.75;WS50M;febrero;4.92
I0238;La31.25Lo65.75;WS10M;febrero;3.03
I0239;La31.25Lo65.25;WS50M;febrero;4.54
I0240;La31.25Lo65.25;WS10M;febrero;2.83
I0241;La30.75Lo69.75;WS50M;febrero;3.38
I0242;La30.75Lo69.75;WS10M;febrero;3
I0243;La30.75Lo69.25;WS50M;febrero;3.52
I0244;La30.75Lo69.25;WS10M;febrero;3.24
I0245;La30.75Lo68.75;WS50M;febrero;4.33
I0246;La30.75Lo68.75;WS10M;febrero;3.7
I0247;La30.75Lo68.25;WS50M;febrero;5.25
I0248;La30.75Lo68.25;WS10M;febrero;4.17
I0249;La30.75Lo67.75;WS50M;febrero;5.5
I0250;La30.75Lo67.75;WS10M;febrero;4.33
I0251;La30.75Lo67.25;WS50M;febrero;5.63
I0252;La30.75Lo67.25;WS10M;febrero;4.32
I0253;La30.75Lo66.75;WS50M;febrero;5.74
I0254;La30.75Lo66.75;WS10M;febrero;4.22
I0255;La30.75Lo66.25;WS50M;febrero;5.65
I0256;La30.75Lo66.25;WS10M;febrero;4.09
I0257;La30.75Lo65.75;WS50M;febrero;5.02
I0258;La30.75Lo65.75;WS10M;febrero;3.18
I0259;La30.75Lo65.25;WS50M;febrero;4.66
I0260;La30.75Lo65.25;WS10M;febrero;2.74
I0261;La30.25Lo69.75;WS50M;febrero;2.97
I0262;La30.25Lo69.75;WS10M;febrero;2.66
I0263;La30.25Lo69.25;WS50M;febrero;3.21
I0264;La30.25Lo69.25;WS10M;febrero;3.06
I0265;La30.25Lo68.75;WS50M;febrero;4.03
I0266;La30.25Lo68.75;WS10M;febrero;3.58
I0267;La30.25Lo68.25;WS50M;febrero;4.75
I0268;La30.25Lo68.25;WS10M;febrero;3.81
I0269;La30.25Lo67.75;WS50M;febrero;5.25
I0270;La30.25Lo67.75;WS10M;febrero;4.16
I0271;La30.25Lo67.25;WS50M;febrero;5.4
I0272;La30.25Lo67.25;WS10M;febrero;4.19
I0273;La30.25Lo66.75;WS50M;febrero;5.51
I0274;La30.25Lo66.75;WS10M;febrero;4.07
I0275;La30.25Lo66.25;WS50M;febrero;5.67
I0276;La30.25Lo66.25;WS10M;febrero;4.09
I0277;La30.25Lo65.75;WS50M;febrero;5.73
I0278;La30.25Lo65.75;WS10M;febrero;4.04
I0279;La30.25Lo65.25;WS50M;febrero;5.46
I0280;La30.25Lo65.25;WS10M;febrero;3.61
I0281;La29.75Lo69.75;WS50M;febrero;2.8
I0282;La29.75Lo69.75;WS10M;febrero;2.54
I0283;La29.75Lo69.25;WS50M;febrero;2.85
I0284;La29.75Lo69.25;WS10M;febrero;2.76
I0285;La29.75Lo68.75;WS50M;febrero;3.57
I0286;La29.75Lo68.75;WS10M;febrero;3.37
I0287;La29.75Lo68.25;WS50M;febrero;4.08
I0288;La29.75Lo68.25;WS10M;febrero;3.38
I0289;La29.75Lo67.75;WS50M;febrero;4.38
I0290;La29.75Lo67.75;WS10M;febrero;3.62
I0291;La29.75Lo67.25;WS50M;febrero;4.53
I0292;La29.75Lo67.25;WS10M;febrero;3.7
I0293;La29.75Lo66.75;WS50M;febrero;4.73
I0294;La29.75Lo66.75;WS10M;febrero;3.64
I0295;La29.75Lo66.25;WS50M;febrero;5.71
I0296;La29.75Lo66.25;WS10M;febrero;4.14
I0297;La29.75Lo65.75;WS50M;febrero;5.86
I0298;La29.75Lo65.75;WS10M;febrero;4.09
I0299;La29.75Lo65.25;WS50M;febrero;5.87
I0300;La29.75Lo65.25;WS10M;febrero;3.97
I0301;La29.25Lo69.75;WS50M;febrero;2.86
I0302;La29.25Lo69.75;WS10M;febrero;2.69
